month;charmander;squirtle;bulbasaur;psyduck;pikachu;eevee;snorlax;total
1;845;501;699;750;898;404;737;4834
2;840;442;669;701;530;477;677;4336
3;892;480;628;542;885;407;812;4646
4;734;542;600;448;510;432;474;3740
5;785;462;584;556;847;487;820;4541
6;630;502;494;808;864;408;597;4303
7;570;567;455;558;503;401;568;3622
8;631;480;428;642;873;452;609;4115
9;406;509;420;595;435;483;514;3362
10;540;488;419;401;813;450;762;3873
11;512;524;410;401;602;472;634;3555
12;499;531;402;684;868;471;635;4090
