x1,x2
101.8337,12.3659
86.7384,39.6436
90.2297,22.8801
92.8526,12.1076
84.4775,17.8229
90.0145,36.2174
89.9938,32.3432
77.7169,21.3957
97.1236,14.2356
94.2035,15.8513
85.6220,39.9595
88.7992,6.1702
93.5371,36.0520
88.1705,34.4583
88.3008,9.4586
79.8273,14.0236
93.8821,23.1412
90.8672,33.0900
91.9212,38.0767
79.3143,44.2476
101.5549,12.0175
91.0803,8.0513
87.2900,21.3035
104.2035,22.4504
89.6823,26.6567
79.8452,7.0706
87.1634,26.1286
73.9818,38.1753
97.3458,36.6924
87.0847,38.5113
84.8021,37.9669
97.5073,38.6665
78.4425,2.3446
93.7480,37.4404
75.5491,11.7401
85.3649,12.9941
81.5705,18.8735
100.2338,46.4395
102.3631,24.5928
87.6941,15.6465
95.8851,15.1915
88.7401,36.8155
93.9764,33.6241
84.7301,6.4079
78.0416,11.2119
77.3783,16.4670
92.6819,9.8742
105.7332,24.1854
91.8859,11.1168
86.3278,23.3917
103.3841,39.1972
91.6611,34.6810
90.7100,4.2709
91.7680,8.4662
89.0734,17.9558
87.8337,26.8574
79.9553,15.5360
93.5114,10.9499
89.3366,13.8319
98.3516,8.6569
87.4183,35.3213
76.6554,28.9404
89.3027,16.6130
101.8968,28.0631
87.3160,21.6473
83.7710,22.7586
81.6449,16.2869
82.6499,19.9745
87.8986,40.2809
81.7401,32.6469
100.4835,35.1731
88.0216,5.6514
90.7605,22.2544
100.0677,15.0584
100.5232,3.8038
88.5109,16.1594
92.3238,4.2760
95.1452,11.5248
88.6500,32.5876
77.5539,28.6392
94.5829,28.0913
96.2605,3.8824
92.9085,7.1299
83.5352,1.4283
88.6278,4.1089
85.8646,5.0237
87.9020,39.5207
99.0782,36.7695
100.7071,9.5279
94.6859,10.7654
93.8412,40.3497
94.7364,23.6467
89.9143,16.8764
89.4704,19.1897
85.2845,12.0928
89.6089,23.5622
105.8196,29.0976
96.0833,23.2989
87.6052,33.2900
86.6965,4.5752
83.9486,25.1096
92.6206,42.2911
92.7408,7.4285
79.8981,24.1634
93.4043,27.9410
86.0137,14.1091
99.9870,38.8511
91.0979,19.4839
102.0241,19.4656
86.7931,37.1066
87.9841,3.0543
92.0987,34.7571
97.3916,6.8639
93.9612,16.6126
81.3653,20.7126
91.2803,19.1992
90.1557,1.6311
86.9965,14.0190
85.4633,15.2974
102.2330,38.7090
87.2673,37.1033
84.0785,23.4071
94.4598,42.3606
90.9144,36.3603
89.4693,18.6859
95.4691,6.3826
93.4204,24.8996
92.5353,14.7858
96.7494,0.6108
91.9855,40.3634
85.6815,39.0418
87.4640,21.9706
86.3532,26.7807
91.4681,27.3080
82.4541,39.3032
77.1730,19.6155
90.6171,23.6629
80.6444,9.3632
76.3362,9.6993
92.6133,21.7333
85.0226,10.9919
93.4729,1.4646
86.2840,15.3888
82.1463,34.1265
81.2954,11.5827
86.3955,37.2960
88.0863,29.8522
84.2358,26.8152
88.0322,36.7082
79.2473,3.0203
90.1014,7.8772
77.4445,37.7976
88.6430,36.5433
94.8811,3.1835
97.6436,30.9991
102.0007,0.7920
79.1060,5.6809
95.3111,6.0272
98.4440,12.3744
96.8639,16.2977
83.4947,36.8105
92.8826,17.8109
103.0204,5.7602
79.5191,12.2635
93.3344,0.4544
97.7860,1.6923
85.1239,18.2758
94.0808,23.7088
82.5038,10.3124
84.3145,15.6947
84.2804,4.9771
91.3462,26.5059
89.3631,16.6499
96.6788,10.1284
83.4180,20.2152
89.0811,8.9900
96.7275,11.8103
93.9254,5.6968
80.7275,34.7898
94.6564,11.9543
86.6511,38.4672
92.6977,16.5894
92.1048,7.1924
98.5352,30.1536
90.8159,29.9464
77.0234,35.9264
80.4110,6.9178
95.1181,31.7067
88.1918,37.4113
97.9659,12.8058
91.9141,18.5822
84.7565,26.2932
97.5768,10.1169
84.3482,35.0126
75.6316,28.2663
104.4466,35.3837
76.6248,18.1027
94.4549,21.3602
96.5720,8.0388
91.0295,13.3499
78.2162,29.3293
97.1051,39.8474
79.9092,8.6600
80.5946,2.4105
87.4683,3.1358
95.5195,18.3304
92.1008,33.0494
95.6754,9.0551
86.8945,20.2085
88.7947,22.2994
82.0400,35.0808
87.7819,7.1387
94.1519,2.3191
87.9012,21.0582
93.3282,14.4165
85.9871,12.0231
85.8533,31.7878
90.2742,28.1427
88.6358,4.9778
94.1467,23.1790
91.2480,32.1534
102.1824,36.8939
88.4635,1.5128
88.4092,32.9147
82.7191,1.9848
90.1594,30.0509
94.7798,24.5164
84.8179,38.4499
89.6523,25.9911
95.0299,3.1556
89.1116,27.1312
86.3660,11.2801
96.8117,34.8636
90.6791,1.7841
92.7760,13.1409
98.1998,27.7033
98.0172,6.7389
87.5696,26.4231
86.3220,28.1633
91.9902,30.8190
89.0705,35.2393
76.7010,16.5661
98.9275,6.9037
90.1355,11.7692
95.1546,15.8602
81.7896,2.3735
99.0174,29.2107
85.8822,5.0415
89.2463,2.6014
80.1900,38.0765
88.8314,32.5569
88.3914,11.5007
88.7025,14.2977
93.0695,33.5131
90.4224,25.8369
96.8305,11.3548
86.7229,18.1853
83.0279,34.7606
89.8663,3.1625
94.3986,41.3109
98.7125,23.3550
95.6975,8.3610
77.6419,32.1613
92.6394,3.5809
100.2226,18.6521
90.4380,23.1337
86.3877,13.9008
92.1641,37.2939
86.4773,29.0345
94.4738,6.9409
89.9090,6.2006
99.7510,2.8264
93.4965,24.2109
84.9328,8.0382
94.2324,23.3433
96.5521,33.0220
86.0208,36.9032
87.0194,6.6209
73.8637,14.5703
96.3238,16.9232
85.8857,15.5889
75.1436,16.8196
77.6186,18.4522
88.4393,31.6055
95.3246,12.8970
89.3765,15.1704
93.3024,15.9421
82.2895,6.4723
80.6104,27.4659
96.2000,21.9557
93.4450,36.7534
89.7864,34.3674
98.9746,10.0195
83.3417,9.6971
87.0581,32.2494
97.1846,22.7239
102.8646,0.8401
90.0590,28.6781
101.7566,17.1539
85.7824,31.4646
